WX: top_k=29, lambda=2.92857, top_site=L0-d0, exact=0.5312, gold prob=0.5318
WX: top_k=29, lambda=3.46429, top_site=L0-d0, exact=0.5508, gold prob=0.5455
WX: top_k=29, lambda=4, top_site=L0-d0, exact=0.5625, gold prob=0.5632
WX: top_k=30, lambda=0.25, top_site=L0-d0, exact=0.5078, gold prob=0.5080
WX: top_k=30, lambda=0.785714, top_site=L0-d0, exact=0.5078, gold prob=0.5080
WX: top_k=30, lambda=1.32143, top_site=L0-d0, exact=0.5078, gold prob=0.5081
WX: top_k=30, lambda=1.85714, top_site=L0-d0, exact=0.5078, gold prob=0.5083
WX: top_k=30, lambda=2.39286, top_site=L0-d0, exact=0.5078, gold prob=0.5150
WX: top_k=30, lambda=2.92857, top_site=L0-d0, exact=0.5312, gold prob=0.5300
WX: top_k=30, lambda=3.46429, top_site=L0-d0, exact=0.5391, gold prob=0.5422
WX: top_k=30, lambda=4, top_site=L0-d0, exact=0.5586, gold prob=0.5599
WX: top_k=31, lambda=0.25, top_site=L0-d0, exact=0.5078, gold prob=0.5080
WX: top_k=31, lambda=0.785714, top_site=L0-d0, exact=0.5078, gold prob=0.5080
WX: top_k=31, lambda=1.32143, top_site=L0-d0, exact=0.5078, gold prob=0.5081
WX: top_k=31, lambda=1.85714, top_site=L0-d0, exact=0.5078, gold prob=0.5082
WX: top_k=31, lambda=2.39286, top_site=L0-d0, exact=0.5078, gold prob=0.5127
WX: top_k=31, lambda=2.92857, top_site=L0-d0, exact=0.5273, gold prob=0.5281
WX: top_k=31, lambda=3.46429, top_site=L0-d0, exact=0.5352, gold prob=0.5389
WX: top_k=31, lambda=4, top_site=L0-d0, exact=0.5508, gold prob=0.5559
WX: top_k=32, lambda=0.25, top_site=L0-d0, exact=0.5078, gold prob=0.5080
WX: top_k=32, lambda=0.785714, top_site=L0-d0, exact=0.5078, gold prob=0.5080
WX: top_k=32, lambda=1.32143, top_site=L0-d0, exact=0.5078, gold prob=0.5081
WX: top_k=32, lambda=1.85714, top_site=L0-d0, exact=0.5078, gold prob=0.5082
WX: top_k=32, lambda=2.39286, top_site=L0-d0, exact=0.5078, gold prob=0.5110
WX: top_k=32, lambda=2.92857, top_site=L0-d0, exact=0.5234, gold prob=0.5261
WX: top_k=32, lambda=3.46429, top_site=L0-d0, exact=0.5312, gold prob=0.5363
WX: top_k=32, lambda=4, top_site=L0-d0, exact=0.5508, gold prob=0.5520
WX: top_k=33, lambda=0.25, top_site=L0-d0, exact=0.5078, gold prob=0.5080
WX: top_k=33, lambda=0.785714, top_site=L0-d0, exact=0.5078, gold prob=0.5081
WX: top_k=33, lambda=1.32143, top_site=L0-d0, exact=0.5078, gold prob=0.5082
WX: top_k=33, lambda=1.85714, top_site=L0-d0, exact=0.5078, gold prob=0.5083
WX: top_k=33, lambda=2.39286, top_site=L0-d0, exact=0.5078, gold prob=0.5085
WX: top_k=33, lambda=2.92857, top_site=L0-d0, exact=0.5273, gold prob=0.5256
WX: top_k=33, lambda=3.46429, top_site=L0-d0, exact=0.5352, gold prob=0.5386
WX: top_k=33, lambda=4, top_site=L0-d0, exact=0.5547, gold prob=0.5514
WX: top_k=34, lambda=0.25, top_site=L0-d0, exact=0.5078, gold prob=0.5080
WX: top_k=34, lambda=0.785714, top_site=L0-d0, exact=0.5078, gold prob=0.5081
WX: top_k=34, lambda=1.32143, top_site=L0-d0, exact=0.5078, gold prob=0.5082
WX: top_k=34, lambda=1.85714, top_site=L0-d0, exact=0.5078, gold prob=0.5083
WX: top_k=34, lambda=2.39286, top_site=L0-d0, exact=0.5078, gold prob=0.5079
WX: top_k=34, lambda=2.92857, top_site=L0-d0, exact=0.5234, gold prob=0.5207
WX: top_k=34, lambda=3.46429, top_site=L0-d0, exact=0.5352, gold prob=0.5348
WX: top_k=34, lambda=4, top_site=L0-d0, exact=0.5469, gold prob=0.5457
WX: top_k=35, lambda=0.25, top_site=L0-d0, exact=0.5078, gold prob=0.5080
WX: top_k=35, lambda=0.785714, top_site=L0-d0, exact=0.5078, gold prob=0.5081
WX: top_k=35, lambda=1.32143, top_site=L0-d0, exact=0.5078, gold prob=0.5082
WX: top_k=35, lambda=1.85714, top_site=L0-d0, exact=0.5078, gold prob=0.5083
WX: top_k=35, lambda=2.39286, top_site=L0-d0, exact=0.5078, gold prob=0.5080
WX: top_k=35, lambda=2.92857, top_site=L0-d0, exact=0.5195, gold prob=0.5173
WX: top_k=35, lambda=3.46429, top_site=L0-d0, exact=0.5352, gold prob=0.5329
WX: top_k=35, lambda=4, top_site=L0-d0, exact=0.5391, gold prob=0.5425
